,Gas_Consumption,temp_mean,temp_max,temp_min,temp_std_dev,radiation_total,avg_peak_radiation,humidity_mean,rain_total,term_days,holiday_days,exam_days,Mean_daily_Solar_energy,avg_wind_speed,morning_temp_mean,afternoon_temp_mean,evening_temp_mean,pressure_mean,weighted_monthly_score
Gas_Consumption,1.0,-0.2092821157833379,-0.24091682328360123,-0.26223452873844033,0.15103317447424963,0.023002145066029506,-0.12895119828805615,-0.2422459258878274,0.03089775221036612,0.1575361550380988,-0.12436086664163509,-0.12449907933583695,-0.12505391770452048,-0.18503745768016172,-0.22101530098772657,-0.19547013419009635,-0.20630241191522553,0.01210199187798116,-0.17175936499158484
temp_mean,-0.2092821157833379,1.0,0.8878283293957401,0.9084854244608148,0.4905928990027675,0.2633896847027664,0.8014673454726944,-0.31839512607786585,-0.3293090054267904,-0.3755724665654477,0.3253432754001398,-0.23391504514128955,0.865889375074439,0.5713718941323297,0.9958774171008897,0.9963746296157784,0.9959206120614199,0.017216218419453543,0.9180723662663475
temp_max,-0.24091682328360123,0.8878283293957401,1.0,0.8069978415314301,0.6213846011097919,0.41654033272616087,0.7638353635170854,-0.24450184341662845,-0.20089722215878758,-0.29177838506196496,0.22977795572743007,-0.20250495416744696,0.7944624361841585,0.6415245263856026,0.8825783323906162,0.8814209251241193,0.8924286974943779,-0.0734719701235713,0.87253173090521
temp_min,-0.26223452873844033,0.9084854244608148,0.8069978415314301,1.0,0.25321931663721853,0.2599246637935856,0.7321338648864733,-0.0887867108269236,-0.19343438985814898,-0.3881934342700065,0.33408622826065004,-0.18666443779945602,0.8018030441789977,0.5451376864622147,0.9132673028201049,0.8932152577504399,0.9076073823868446,0.01797948993998043,0.8681095108590821
temp_std_dev,0.15103317447424963,0.4905928990027675,0.6213846011097919,0.25321931663721853,1.0,0.2846831202706083,0.514429865286025,-0.5372610559086938,-0.013288160011165147,0.003982028735165078,-0.0415598050657688,-0.11685278730816485,0.49580582355832037,0.40464927515539934,0.4924683402161771,0.4910880920140431,0.4754749914699233,-0.20530024210172992,0.5118610297367876
radiation_total,0.023002145066029506,0.2633896847027664,0.41654033272616087,0.2599246637935856,0.2846831202706083,1.0,0.6534275739864164,-0.4003900488166934,0.07009562979541643,-0.15332150102581998,0.161888030512803,0.07027866290729262,0.4743032450972106,0.4039759722051223,0.2657229678755268,0.24876578808852765,0.27520484070450485,-0.28296552392079616,0.40365694732893126
avg_peak_radiation,-0.12895119828805615,0.8014673454726944,0.7638353635170854,0.7321338648864733,0.514429865286025,0.6534275739864164,1.0,-0.5535735679985077,-0.17183719143564843,-0.3341286040598709,0.3094854166602816,0.0007828744149917348,0.9644526322822462,0.7070948251590121,0.8241279153865828,0.7682192028819136,0.7956506570837446,-0.13517102767703845,0.8959143638798657
humidity_mean,-0.2422459258878274,-0.31839512607786585,-0.24450184341662845,-0.0887867108269236,-0.5372610559086938,-0.4003900488166934,-0.5535735679985077,1.0,0.17348652832532954,0.07131138248959284,-0.057724802171031805,0.02290447983255959,-0.48287299400587264,-0.3171139178608907,-0.3310135916070645,-0.3092086618582134,-0.29979644378127673,0.26183489617248507,-0.3602043873059125
rain_total,0.03089775221036612,-0.3293090054267904,-0.20089722215878758,-0.19343438985814898,-0.013288160011165147,0.07009562979541643,-0.17183719143564843,0.17348652832532954,1.0,0.22934076627727445,-0.19156954276059684,0.02243625475664562,-0.20839240618101457,0.025122747861673705,-0.3107912888747843,-0.344720199930643,-0.3344440465869575,-0.17607769024866868,-0.22675842413439237
term_days,0.1575361550380988,-0.3755724665654477,-0.29177838506196496,-0.3881934342700065,0.003982028735165078,-0.15332150102581998,-0.3341286040598709,0.07131138248959284,0.22934076627727445,1.0,-0.9841593772669148,0.29833349989529806,-0.3398908721657215,-0.24780592026805803,-0.3651919104760372,-0.3724834177140781,-0.3954108976108119,0.10385704209914298,-0.4495438683406821
holiday_days,-0.12436086664163509,0.3253432754001398,0.22977795572743007,0.33408622826065004,-0.0415598050657688,0.161888030512803,0.3094854166602816,-0.057724802171031805,-0.19156954276059684,-0.9841593772669148,1.0,-0.3107951649774872,0.3070012469135223,0.21448767245913727,0.3145601829354789,0.3237473559604843,0.34419066442682783,-0.10548339626142211,0.4038737533268834
exam_days,-0.12449907933583695,-0.23391504514128955,-0.20250495416744696,-0.18666443779945602,-0.11685278730816485,0.07027866290729262,0.0007828744149917348,0.02290447983255959,0.02243625475664562,0.29833349989529806,-0.3107951649774872,1.0,-0.025945675374581145,0.10385394050650167,-0.19394033886168083,-0.2555442530104969,-0.2746982738232789,-0.24786128961765463,-0.16918172653914043
Mean_daily_Solar_energy,-0.12505391770452048,0.865889375074439,0.7944624361841585,0.8018030441789977,0.49580582355832037,0.4743032450972106,0.9644526322822462,-0.48287299400587264,-0.20839240618101457,-0.3398908721657215,0.3070012469135223,-0.025945675374581145,1.0,0.7325329108479496,0.8911297791338944,0.8314703211186762,0.8563184915199477,-0.03135693578746945,0.9552536724357352
avg_wind_speed,-0.18503745768016172,0.5713718941323297,0.6415245263856026,0.5451376864622147,0.40464927515539934,0.4039759722051223,0.7070948251590121,-0.3171139178608907,0.025122747861673705,-0.24780592026805803,0.21448767245913727,0.10385394050650167,0.7325329108479496,1.0,0.6129221867531284,0.5257470272312348,0.5531397106239132,-0.14526992397997654,0.7084828062902421
morning_temp_mean,-0.22101530098772657,0.9958774171008897,0.8825783323906162,0.9132673028201049,0.4924683402161771,0.2657229678755268,0.8241279153865828,-0.3310135916070645,-0.3107912888747843,-0.3651919104760372,0.3145601829354789,-0.19394033886168083,0.8911297791338944,0.6129221867531284,1.0,0.9853994828245217,0.9865604198926684,0.015485523538405441,0.931228515070045
afternoon_temp_mean,-0.19547013419009635,0.9963746296157784,0.8814209251241193,0.8932152577504399,0.4910880920140431,0.24876578808852765,0.7682192028819136,-0.3092086618582134,-0.344720199930643,-0.3724834177140781,0.3237473559604843,-0.2555442530104969,0.8314703211186762,0.5257470272312348,0.9853994828245217,1.0,0.9940309946163991,0.010542855637683354,0.8943088153705813
evening_temp_mean,-0.20630241191522553,0.9959206120614199,0.8924286974943779,0.9076073823868446,0.4754749914699233,0.27520484070450485,0.7956506570837446,-0.29979644378127673,-0.3344440465869575,-0.3954108976108119,0.34419066442682783,-0.2746982738232789,0.8563184915199477,0.5531397106239132,0.9865604198926684,0.9940309946163991,1.0,0.03460270007184799,0.9140308735066849
pressure_mean,0.01210199187798116,0.017216218419453543,-0.0734719701235713,0.01797948993998043,-0.20530024210172992,-0.28296552392079616,-0.13517102767703845,0.26183489617248507,-0.17607769024866868,0.10385704209914298,-0.10548339626142211,-0.24786128961765463,-0.03135693578746945,-0.14526992397997654,0.015485523538405441,0.010542855637683354,0.03460270007184799,1.0,-0.0074414211028276
weighted_monthly_score,-0.17175936499158484,0.9180723662663475,0.87253173090521,0.8681095108590821,0.5118610297367876,0.40365694732893126,0.8959143638798657,-0.3602043873059125,-0.22675842413439237,-0.4495438683406821,0.4038737533268834,-0.16918172653914043,0.9552536724357352,0.7084828062902421,0.931228515070045,0.8943088153705813,0.9140308735066849,-0.0074414211028276,1.0
