Meter_location,Mean_Consumption,Z_Score,Z_Anomaly,IQR_Anomaly,IsoForest_Anomaly,Cluster
 H402 St David II DB G:,3068.281111111111,-0.34217864223050165,Normal,Normal,Normal,0
F813 Bill Robertson Library 1 MSB:,35273.01500000001,1.0246057776113655,Normal,Anomaly,Normal,2
F813 Bill Robertson Library DB1:,17706.5225,0.2790753738171367,Normal,Normal,Normal,0
F813 Bill Robertson Library MCC1:,7295.786666666667,-0.16276126998754098,Normal,Normal,Normal,0
F813 Bill Robertson Library MCC2:,6799.553333333335,-0.18382165169869674,Normal,Normal,Normal,0
F900 College of Education:,60182.32944444444,2.08176908189673,Normal,Anomaly,Normal,2
F903 CoE Drama (Drama Centre and Theatre/ Childcare:,3137.0052777777782,-0.33926195549150573,Normal,Normal,Normal,0
"F904 CoE Childcare (Fed from Drama, For Oncharging)",732.5397222222223,-0.4413086319434296,Normal,Normal,Normal,0
F905 CoE Auditorium Lights:,1503.2727777777777,-0.4085983497897274,Normal,Normal,Normal,0
F905 CoE Auditorium power:,2525.7711111111116,-0.36520302796729043,Normal,Normal,Normal,0
F906 College of Education Administration:,267.4066666666667,-0.4610491028841354,Normal,Normal,Normal,0
F907 CoE Student Centre/Music (Music Suite):,3567.758611111111,-0.32098057652323936,Normal,Normal,Normal,0
F908 CoE Food Technology:,606.6733333333334,-0.44665046211996906,Normal,Normal,Normal,0
F908 CoE Mechanical Service Teaching Wing top plant room:,202.6847222222223,-0.4637959333840781,Normal,Normal,Normal,0
F908 CoE Teaching Wing Annex plant room:,1224.0336111111108,-0.42044939453757135,Normal,Normal,Normal,0
F908 CoE Teaching Wing Annex plant room:,1224.0338888888882,-0.42044938274854865,Normal,Normal,Normal,0
F908 CoE Teaching Wing Lights east end riser:,1238.9075,-0.4198181395281081,Normal,Normal,Normal,0
F908 CoE Teaching Wing Lights west end riser:,1668.432777777778,-0.4015888798291958,Normal,Normal,Normal,0
F908 CoE Teaching Wing Power west end riser:,1798.5236111111112,-0.39606776219544343,Normal,Normal,Normal,0
F908 CoE Teaching Wing power east end riser:,1850.5333333333333,-0.39386044453031716,Normal,Normal,Normal,0
F909 CoE Tower Block (lights?):,1308.077777777778,-0.4168825196186568,Normal,Normal,Normal,0
F909 CoE Tower Block (power?):,1510.3491666666664,-0.40829802443645963,Normal,Normal,Normal,0
F909 CoE Tower Block Lecture Theatre:,3061.287222222222,-0.34247546624402775,Normal,Normal,Normal,0
F909 CoE Tower Block Lift:,747.3466666666667,-0.4406802180884369,Normal,Normal,Normal,0
F910 College of Education Education and Resource Centre:,291.7716666666667,-0.46001504054707826,Normal,Normal,Normal,0
F911 CoE Gymnasium/ Carpark:,2766.177777777777,-0.35500005322575773,Normal,Normal,Normal,0
F916 CoE Mechanical Services DB Boilerhouse:,2775.9308333333342,-0.35458612884975826,Normal,Normal,Normal,0
F916 CoE Wood Boiler:,2333.5986111111115,-0.37335892144022736,Normal,Normal,Normal,0
F916 CoE Woodchip bunker control panel:,69.58666666666666,-0.46944467897757436,Normal,Normal,Normal,0
F918 CoE Dunedin Study:,4807.985277777777,-0.26834475935049584,Normal,Normal,Normal,0
F940 Plaza 1 Mains:,114724.59222222224,4.396568988170996,Anomaly,Anomaly,Anomaly,1
F940 Plaza Cafe Kitchen DB CF:,1471.4422222222222,-0.40994925390085424,Normal,Normal,Normal,0
F940 Plaza FS  DBG/N:,5662.520555555555,-0.23207787051665038,Normal,Normal,Normal,0
F940 Plaza FS DB L1/N:,3223.6624999999995,-0.3355841812360578,Normal,Normal,Normal,0
F940 Plaza FS DB L2/N:,2426.567777777777,-0.36941326522198054,Normal,Normal,Normal,0
F940 Plaza FS DB L3/N:,2969.3105555555553,-0.3463790002841696,Normal,Normal,Normal,0
F940 Plaza FS LMCP01 Nth Ground Mechanical,6120.427499999999,-0.21264407921244735,Normal,Normal,Normal,0
F940 Unipol DB CRD/N:,3902.671666666669,-0.30676670511184095,Normal,Normal,Normal,0
F940 Unipol DB G/S:,3613.385555555556,-0.31904414702170025,Normal,Normal,Normal,0
F940 Unipol DB GYM/N:,6198.3244444444435,-0.20933809536587109,Normal,Normal,Normal,0
F940 Unipol DB GYM/S:,6278.259166666668,-0.20594562724877177,Normal,Normal,Normal,0
F940 Unipol DB L1/S:,4741.616388888888,-0.2711614869660234,Normal,Normal,Normal,0
F940 Unipol DB MPA:,5769.346944444444,-0.22754410711202008,Normal,Normal,Normal,0
F940 Unipol DB WHT/S:,1988.7902777777772,-0.3879927532072472,Normal,Normal,Normal,0
G401 1  Mellor Laboratories Ground MSB:,107062.8086111111,4.071399200896974,Anomaly,Anomaly,Anomaly,1
G401 2 Mellor L3 MCC 3.1:,57222.284444444434,1.9561433461900086,Normal,Anomaly,Normal,2
G401 Mellor 3.1 Humidifier 1:,1528.4255555555558,-0.40753085378429477,Normal,Normal,Normal,0
G401 Mellor 3.1 Humidifier 2:,1417.1091666666666,-0.4122551749518385,Normal,Normal,Normal,0
G401 Mellor 3.1 MEF-1:,12980.133055555556,0.07848512900842237,Normal,Normal,Normal,0
G401 Mellor 3.1 RO Plant:,97.09805555555556,-0.46827708238040083,Normal,Normal,Normal,0
G401 Mellor Chiller:,3317.1963888888886,-0.33161455793466293,Normal,Normal,Normal,0
G401 Mellor3.1 HWC 1 & 2:,4406.628611111111,-0.28537852962452775,Normal,Normal,Normal,0
G403 Biochemistry Plant room East:,361.21472222222224,-0.4570678438173362,Normal,Normal,Normal,0
G403 Biochemistry Plant room West:,2706.0311111111114,-0.3575527067328182,Normal,Normal,Normal,0
G403 Biochemistry:,129775.30722222221,5.035328582970118,Anomaly,Anomaly,Anomaly,1
G404 Microbiology HVAC Ground:,38170.00749999999,1.147555534844566,Normal,Anomaly,Normal,2
G404 Microbiology Mech 9th Floor:,1956.6269444444442,-0.3893577805675679,Normal,Normal,Normal,0
G404 Microbiology Mech Basement :,678.9880555555558,-0.4435813904735604,Normal,Normal,Normal,0
G404 Microbiology Riser 1:,1203.9050000000002,-0.4213036624894395,Normal,Normal,Normal,0
G404 Microbiology Riser 2:,35543.633888888886,1.0360909736177777,Normal,Anomaly,Normal,2
G404 Microbiology:,81301.31083333334,2.978068825432961,Normal,Anomaly,Anomaly,1
G404 Microbiology Rooftop ONE.NZ Antenna,27111.295277777783,0.6782184609536063,Normal,Anomaly,Normal,2
G405 Science 3 - MSB,125763.04166666669,4.8650461000121235,Anomaly,Anomaly,Anomaly,1
G405 Science 3 Level 6 Mechanical MCC (Block 4),3739.8677777777766,-0.3136761805818363,Normal,Normal,Normal,0
G405 Science 3 Level Basement MCC (Block 4),2968.1883333333335,-0.34642662793587525,Normal,Normal,Normal,0
G405 Science 3 Library (Block 3),19605.274166666666,0.3596593092131735,Normal,Anomaly,Normal,0
G405 Science 3 Main Riser (Block 4),44777.09027777779,1.427963310683629,Normal,Anomaly,Normal,2
G405 Science 3 Physics Climate Chamber,2050.6113888888885,-0.38536903547135465,Normal,Normal,Normal,0
G411 1 St David's Lecture incl visitor centre:,89570.86027777779,3.3290324874453407,Anomaly,Anomaly,Anomaly,1
G411 Solar pv 03Dgr:,262.6375,-0.46125150861486175,Normal,Normal,Normal,0
G411 Solar pv 33Dgr:,333.1430555555556,-0.4582592188732944,Normal,Normal,Normal,0
G411 Solar pv 48dgr:,678.901388888889,-0.4435850686486426,Normal,Normal,Normal,0
G411 Solar pv 63dgr:,319.1475,-0.45885319699298216,Normal,Normal,Normal,0
G411 St David's generator:,46.11833333333335,-0.4704406863493577,Normal,Normal,Normal,0
G411 St Davids visitor centre:,919.5997222222219,-0.4333697154332755,Normal,Normal,Normal,0
G412 Compressor Science 2 boiler house:,3399.3869444444445,-0.3281263511642217,Normal,Normal,Normal,0
G413 1 Science 2 Main Board:,112476.02916666666,4.301138888920098,Anomaly,Anomaly,Anomaly,1
G413 Science 2 1st floor Chiller:,1485.2538888888892,-0.4093630801141936,Normal,Normal,Normal,0
G413 Science 2 1st floor Humidifier:,8560.70833333333,-0.10907738511877357,Normal,Normal,Normal,0
G413 Science 2 1st floor board:,12192.986666666668,0.045078257081456775,Normal,Normal,Normal,0
G413 Science 2 DB GN2:,7086.178333333333,-0.171657148626298,Normal,Normal,Normal,0
G413 Science 2 X-Ray Lab DB GN10:,1043.4097222222224,-0.4281151593917798,Normal,Normal,Normal,0
G413 Science 2 boiler house G412:,17661.210555555554,0.27715231306733884,Normal,Normal,Normal,0
G501 Staff Club:,4081.5574999999994,-0.29917470417266284,Normal,Normal,Normal,0
G502 1  Main Block substation G508:,125759.92527777777,4.864913838966458,Anomaly,Anomaly,Anomaly,1
G502 Clocktower 1 First Floor:,17385.876666666667,0.2654670101896262,Normal,Normal,Normal,0
G502 Clocktower 2 Ground Floor:,14133.757777777775,0.127445517941235,Normal,Normal,Normal,0
G502 Clocktower 3 Basement:,12592.241388888891,0.06202281982072228,Normal,Normal,Normal,0
G503/04 Professional Houses:,10268.938055555556,-0.03657929282279367,Normal,Normal,Normal,0
G504 Black & Sale House:,5363.430277777777,-0.2447714059826858,Normal,Normal,Normal,0
G504 Scott Shand:,5038.237222222222,-0.25857275591178586,Normal,Normal,Normal,0
G505 Geology north:,33239.66027777778,0.9383092236968469,Normal,Anomaly,Normal,2
G505 Geology south:,10730.30166666667,-0.01699879892011891,Normal,Normal,Normal,0
G506 Marama Hall:,5258.958888888888,-0.24920522205287035,Normal,Normal,Normal,0
G506/07 Archway buildings (incl. Allen & Marama Hall):,20517.76277777778,0.398385765430845,Normal,Anomaly,Normal,0
G507 Allen Hall (Backstage):,3891.4366666666665,-0.3072435239239419,Normal,Normal,Normal,0
G507 Archway West:,6801.561388888889,-0.18373642885360267,Normal,Normal,Normal,0
G508 Geology Substation Generator:,0.0,-0.47239797063205197,Normal,Normal,Normal,0
G600 University College MSB G606:,61253.007777777784,2.1272091861283364,Normal,Anomaly,Anomaly,2
G601 UniCol Common DB:,27918.925277777784,0.71249466720345,Normal,Anomaly,Normal,2
G602 UniCol South Tower:,13493.871944444447,0.10028845493009587,Normal,Normal,Normal,0
G603 UniCol North Tower:,11914.695555555554,0.03326744826808593,Normal,Normal,Normal,0
G606 UniCol Nth Annexe L1:,629.4488888888887,-0.44568385657079806,Normal,Normal,Normal,0
G606 UniCol Nth Annexe L2:,567.5241666666667,-0.4483119716121576,Normal,Normal,Normal,0
G606 UniCol Nth Annexe L3:,599.8347222222222,-0.4469406960698062,Normal,Normal,Normal,0
G606 UniCol Nth Annexe L4:,1080.1875,-0.4265542927863763,Normal,Normal,Normal,0
G607 UniCol South Annexe:,4429.769444444444,-0.28439642151050704,Normal,Normal,Normal,0
H402 1 St David II Mains:,15230.258888888893,0.17398155330102533,Normal,Normal,Normal,0
H402 St David II Mech??? :,3159.4186111111117,-0.33831072282793473,Normal,Normal,Normal,0
H402 St David II Chiller:,501.6494444444445,-0.4511077265563028,Normal,Normal,Normal,0
H402 St David II DB 1:,2304.346388888888,-0.37460039984265825,Normal,Normal,Normal,0
H402 St David II DB 2:,2277.3911111111106,-0.37574439481638744,Normal,Normal,Normal,0
H402 St David II DB 3:,2618.4422222222215,-0.36127002137040004,Normal,Normal,Normal,0
H402 St David II DB GMS:,1368.5105555555558,-0.4143177234182159,Normal,Normal,Normal,0
H402 St David II Lift:,77.15083333333334,-0.4691236521004464,Normal,Normal,Normal,0
"H418, 530 Castle Street:",1446.0991666666666,-0.411024825386836,Normal,Normal,Normal,0
"H419, 520 Castle Street:",3317.736944444445,-0.3315916164964898,Normal,Normal,Normal,0
H420 518 Castle Street:,2292.5641666666675,-0.37510044302947687,Normal,Normal,Normal,0
H421 CFI DB-1E.3  first floor east unit 3:,0.0,-0.47239797063205197,Normal,Normal,Normal,0
H421 CFI DB-2E.4-2E5:,745.1441666666667,-0.4407736932494206,Normal,Normal,Normal,0
H421 CFI DB-2E3:,244.28000000000006,-0.4620306097579985,Normal,Normal,Normal,0
"H421 CFI DB-GE.4 - Pacific Dvpt - G.E4, G.E7, G.E8:",676.9136111111111,-0.4436694308950797,Normal,Normal,Normal,0
"H421 CFI DB-GE.6  Maori Dvpt - Rm G.E5a-5d, G.E6:",1300.6386111111112,-0.41719824143557005,Normal,Normal,Normal,0
H421 CFI GW6a:,54.3613888888889,-0.4700908471007524,Normal,Normal,Normal,0
H421 CFI GW6b:,4.5213888888888905,-0.47220608070957354,Normal,Normal,Normal,0
H421 CFI GW6 c-e :,74.10499999999999,-0.46925291873434555,Normal,Normal,Normal,0
H421 CFI GW6f:,13.853333333333332,-0.47181002849198644,Normal,Normal,Normal,0
H421 CFI GW6g:,122.22361111111114,-0.46721074169919274,Normal,Normal,Normal,0
H421 Centre for Innovation  landlord meter:,11928.459722222218,0.033851606131864886,Normal,Normal,Normal,0
H421 Centre for Innovation 1:,46405.41972222223,1.4970703967013235,Normal,Anomaly,Normal,2
H421 Centre for Innovation 2 :,15055.930555555555,0.16658297485727633,Normal,Normal,Normal,0
H421 CfI DB-1E:,1827.7463888888888,-0.39482753342941884,Normal,Normal,Normal,0
H421 CfI DB-1W:,8919.595833333333,-0.09384602673623346,Normal,Normal,Normal,0
H421 CfI DB-2E:,1733.7083333333333,-0.39881855380701314,Normal,Normal,Normal,0
H421 CfI DB-2W:,5193.909166666666,-0.25196596359959833,Normal,Normal,Normal,0
H421 CfI DB-GE:,2728.835833333333,-0.35658486333626377,Normal,Normal,Normal,0
H421 CfI DB-GW:,5731.495555555558,-0.22915053829015672,Normal,Normal,Normal,0
H421 CfI L2 Suite 1 2W1:,1626.9138888888892,-0.40335096147403304,Normal,Normal,Normal,0
H421 CfI L2 Suite 2 2W4/1:,1190.4569444444442,-0.4218744044453867,Normal,Normal,Normal,0
H421 CfI L2 Suite 3 2W4/2:,5058.5325,-0.2577114145462979,Normal,Normal,Normal,0
H421 CfI L2 Suite 4 2W3/2:,3668.9202777777778,-0.31668722665851834,Normal,Normal,Normal,0
H421 CfI L2 Suite 5 2W3/1:,461.5269444444445,-0.4528105447840301,Normal,Normal,Normal,0
H421 CfI L2 Suite 6 2W2:,958.1725,-0.4317326681631883,Normal,Normal,Normal,0
H421 CfI Suite 11 L1 1W1:,4154.694444444445,-0.29607073701906383,Normal,Normal,Normal,0
H421 CfI Suite 12 L1 1W3/1:,1363.1708333333336,-0.4145443438015669,Normal,Normal,Normal,0
H421 CfI Suite 13 L1 1W5:,82.75111111111109,-0.46888597361380335,Normal,Normal,Normal,0
H421 CfI Suite 14 L1 1W6:,5009.017777777778,-0.25981284320953807,Normal,Normal,Normal,0
H421 CfI Suite 15 L1 1W4:,2157.103611111111,-0.3808494542610317,Normal,Normal,Normal,0
H421 CfI Suite 16 L1 1W2:,1799.9152777777779,-0.3960086991917193,Normal,Normal,Normal,0
H421 CfI Suite 21 LG GW7/1:,805.8358333333334,-0.43819790967982386,Normal,Normal,Normal,0
H421 CfI Suite 22 LG GW7/2:,856.0972222222224,-0.4360647921235677,Normal,Normal,Normal,0
H421 CfI Suite 23 LG GW8:,4306.580833333333,-0.28962460550822405,Normal,Normal,Normal,0
H421 CfI Suite 24 LG GW6/2:,645.2091666666666,-0.4450149827899009,Normal,Normal,Normal,0
H421 CfI Suite 25 LG GW6/1:,815.683888888889,-0.43777995345806126,Normal,Normal,Normal,0
H421 Cfi DB-GE Board Room:,94.02444444444447,-0.4684075279165699,Normal,Normal,Normal,0
H509 UO Childcare DBA1:,2914.77,-0.34869372773511037,Normal,Normal,Normal,0
H509 UO Childcare & CSAFE:,8608.451944444443,-0.10705112326426491,Normal,Normal,Normal,0
"H514 C Safe Buildings 1, 2 & 4:",627.2475,-0.445777284575691,Normal,Normal,Normal,0
H515 C Safe Building 3:,299.96111111111105,-0.4596674765798539,Normal,Normal,Normal,0
H525 31 Montgomery Ave:,371.1930555555556,-0.4566443585439276,Normal,Normal,Normal,0
H538 Childcare/ CSafe Boiler:,3732.922777777778,-0.3139709297273672,Normal,Normal,Normal,0
H634 1 Arana MSB :,30159.192777777775,0.8075726990804499,Normal,Anomaly,Normal,2
H634 Arana Colombo Bates Accomodation:,3321.2944444444443,-0.3314406344827784,Normal,Normal,Normal,0
H634 Arana Denmead Ktichen H633:,12057.394166666667,0.039323646064119686,Normal,Normal,Normal,0
H634 Arana MSB DB:,3195.2988888888885,-0.3367879465548731,Normal,Normal,Normal,0
H634 G621 Arana Dempster House:,1211.2769444444446,-0.4209907936160196,Normal,Normal,Normal,0
H634 G623 Arana Rawiri:,6255.726388888888,-0.20690192919210357,Normal,Normal,Normal,0
H638 Arana Gym/Leithview:,4431.348333333332,-0.2843294127054835,Normal,Normal,Normal,0
H711 Studholme DB Kitchen:,5897.77861111111,-0.22209340531085145,Normal,Normal,Normal,0
H711 Studholme DB1 West Wing:,2198.0733333333333,-0.37911067951407124,Normal,Normal,Normal,0
H711 Studholme DB2 West Wing:,1646.7149999999997,-0.4025105927799274,Normal,Normal,Normal,0
H711 Studholme Hostel Heating:,8618.16388888889,-0.1066389436636249,Normal,Normal,Normal,0
H711 Studholme Hostel Lighting:,2000.7505555555556,-0.38748515325687816,Normal,Normal,Normal,0
H711 Studholme Hostel Power:,4088.567777777777,-0.2988771846067976,Normal,Normal,Normal,0
H711 Studholme Hostel Water Heating:,9534.701666666668,-0.06774063886206413,Normal,Normal,Normal,0
H711 Studholme Kitchen DHW:,1482.6819444444448,-0.4094722346753675,Normal,Normal,Normal,0
H711 Studholme Power & Light:,2753.1791666666672,-0.3555517205429772,Normal,Normal,Normal,0
J125 Carrington College dining and kitchen:,14966.731944444437,0.16279734283315106,Normal,Normal,Normal,0
J127 Carrington College Jenkins:,8510.059166666666,-0.11122696015071802,Normal,Normal,Normal,0
J127 Carrington College Linton:,4352.541388888888,-0.2876740173904231,Normal,Normal,Normal,0
J140 Aquinas College:,23973.61722222222,0.5450538928000817,Normal,Anomaly,Normal,2
J140 Aquinas DHW:,3011.8225,-0.34457477288318195,Normal,Normal,Normal,0
J140 Aquinas Kitchen:,8383.495833333336,-0.11659836898521023,Normal,Normal,Normal,0
J141 Aquinas Priory:,4388.635277777777,-0.28614217535890557,Normal,Normal,Normal,0
J142 Aquinas Gym:,9.419166666666667,-0.4719982166613373,Normal,Normal,Normal,0
K308 Caroline Freeman College DB81:,10720.091944444448,-0.01743210444943616,Normal,Normal,Normal,0
K308 Caroline Freeman College DB82:,2475.2897222222227,-0.3673454824295245,Normal,Normal,Normal,0
K308 Caroline Freeman College DB83:,941.4180555555556,-0.43244373485632664,Normal,Normal,Normal,0
K308 Caroline Freeman College DB84:,16100.295555555553,0.21090632854661173,Normal,Normal,Normal,0
K308 Caroline Freeman College DB85:,7922.2269444444455,-0.13617484283114445,Normal,Normal,Normal,0
K308 Caroline Freeman College DB8:,2741.1949999999997,-0.35606033434929835,Normal,Normal,Normal,0
XW00 Wellington School of Medicine Incomer 1:,18341.27527777778,0.3060145874778135,Normal,Normal,Normal,0
XW00 Wellington School of Medicine Incomer 2:,51912.769444444435,1.7308049719014869,Normal,Anomaly,Anomaly,2
XW00 Wellington SoM 21 Chiller:,5335.695555555556,-0.24594848095410954,Normal,Normal,Normal,0
XW00 Wellington SoM 31 Sth Tower Rising Main:,4919.86138888889,-0.26359668330221264,Normal,Normal,Normal,0
XW00 Wellington SoM 41 Unlabelled - Bottom Right MSB:,5454.422777777778,-0.2409096404499679,Normal,Normal,Normal,0
