Meter_Location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024
"F204,IT DEPT,444 GREAT KING STREET,DUNEDIN",1964.35,1964.35,3990.09,4450.48,6353.45,7212.85,11724.72,10404.92,11847.49,11694.02,7918.79,4020.78,3345.53,920.79,1227.72,2117.82,4696.02,5678.2,7498,8593,9178,5770,5758,4300,3325,1863,1934,3550,5156,6439,7747,6910,6669,4329
"F402,UNIVERSITY UNION BUILDING,660",48.22,48.22,125.95,3019.06,3376.58,4171.07,5680.6,3495.75,5124.46,5045.01,4290.24,4687.49,4528.59,4845.66,4101.17,9127.11,7559.02,10252.93,7528,7559,9202,9337,9640,6728,4689,2446.94,6773,9676,7793,11090,7286,5099,11632,10011
"F405,SMITHELL'S GYMNASIUM,690 CUMBERLAND",0,0,1220.37,169.5,6237.43,14678.29,33051.58,24610.71,9152.74,21627.6,17254.62,7254.4,0,0,1220.37,891.9,6140.41,14064.63,27911,23807,23417,16271,16653,14165,0,0,1220.37,530.7,10463,24926,32106,22472,24521,22403
"F512,INFORMATION TECHNOLOGY BLDG,270 LEITH",6594.87,6594.87,5208.26,7744.75,13697.05,17045.22,27969.03,25973.66,23707.73,21509.44,3531.39,12390.85,12390.85,12390.85,3283.57,5854.68,13629.93,12669.64,17327,20565,22678,15768,14012,12882,8585,4818,5952,11562,12368,19958,23378,18783,23531,20101
"F516/17,HUMANITIES,97-99/ALBANY",1459.92,1459.92,1733.65,1976.97,2828.59,3102.32,4805.56,6539.21,5505.11,5292.2,3953.94,2919.83,2281.12,1003.69,1155.77,2159.46,4075.6,4531.83,4800,5718,5450,3589,4097,2465,2150,1413,1018,1533,2419,3160,3089,4360,4956,4198
"F603,PROPERTY SERVICES BLDG,111 ALBANY",368.44,368.44,736.89,884.26,2394.88,2505.41,2837.01,773.73,4163.41,2358.04,1768.53,663.2,589.51,221.07,368.44,921.11,1400.08,1805.37,2630,2383,4637,1769,1397,1032,744,105,181,3314,1897.48,2871,3557,3831,4633,3023
F620 Psychology 2,2794.93,4457.74,5943.65,5059.18,4634.63,5200.7,5943.65,6085.17,5200.7,4457.74,4953.04,4634.63,3927.06,4422.36,5377.59,5448.35,5342.21,5306.83,4599.25,4846.91,3785.54,3750.16,2582.66,3077.96,1662.81,1061.37,1839.7,1096.75,1698.19,1768.94,1238.26,1556.67,1910.46,2759.55
"F62X,PSYCHOLOGY (WILLIAM JAMES BLDG),275",72668.22,72668.22,11321.24,5483.73,118554.63,150218.72,50131.87,94603.12,41393.29,50627.18,30496.59,19069.22,17724.82,6969.64,3396.37,3927.06,4563.88,3962.43,4125,4184,4060,3502,2683,4637,1981,1912,906,944,1442,990,1530,1179,1068,1380
"F916,COLLEGE OF EDUCATION BOILER HOUSE,151",39249.13,39249.13,3019.16,89489.38,119036.48,10109.11,68762.31,75377.33,18759.52,1509.5,12551.58,46780.08,124769.5,66319.84,55159.11,54209.26,106281.36,22491.08,91851,36294,51686,780,11980,2239,109448,135985,105993,67745,104506,8165,68765,314414,613,2239
F940,19770.67,24214.51,22809.98,26098.12,34922.05,33258.14,29371.76,283245.78,121401.03,131764.4,62315.05,18670.99,20524.4,24459.56,28226.2,17271.6,26300.94,27139.34,28062.87,30191.84,435901.71,145320.69,79662.44,153549.56,18383.29,24122.26,24103.95,54532.1,26758.38,24838.81,27497.2,355927.73,86881.15,128091.01
G403 Biochemistry Gas meter,44.2,38.89,70.72,70.72,70.72,35.36,141.43,70.72,106.08,35.36,106.08,35.36,35.36,49.5,42.08,33.24,62.23,42.43,18.03,70.72,42.43,32.18,86.63,118.1,53.04,28.29,26.17,37.48,70.72,35.36,6.36,6188.46,19616.94,21851.6
G404 Microbiology Gas meter,13878.24,15274.905,19288.1,17696.965,17573.21,17997.51,20755.48,19022.91,19500.255,18227.345,17449.455,16141.185,16158.865,13683.765,18975.18,16878.415,19464.895,18421.815,19593.965,20808.205,21328.335,19669.645,18644.035,17275.12,14714.565,15481.075,16262.565,18116,17341.935,18620.16,20535.605,1473713.81,12373.36,12143.295
"G412,SCIENCE 2 BOILER HOUSE,72 UNION PLACE",148.92,148.92,12183.65,8091.46,14098.01,55845.98,46017.08,15934.72,25763.61,2779.89,40506.95,6304.39,434059.75,40273.45,17955.29,3177.02,1092.1,11715.24,53925,18887,15545,237,609,7669,4944,6348,6412,5634.24,7595.05,4404,49971.04,1849,20654.31,1508.44
G501 Staff Club Gas meter,265.19,565.74,813.25,707.17,1520.42,1237.55,2086.16,1767.93,1520.42,1838.65,1520.42,636.45,212.15,636.45,990.04,883.96,1485.06,1732.57,1732.57,2262.95,1485.06,1378.98,1378.98,848.61,318.23,671.81,1237.55,1152.58,1393.23,1732.57,1803.29,2086.16,1661.85,2044.64
"G601,UNIVERSITY COLLEGE (KITCHEN),315 LEITH",60.91,121.82,395.92,1400.95,1126.85,1492.32,1370.5,1096.4,1492.32,1370.5,1461.86,944.12,60.91,121.82,395.92,639.57,730.93,944.12,1010,770,920,761,881,579,60.91,121.82,210,692,696,974,919,430,919,1097
"G608,ST MARGARET'S COLLEGE,333 LEITH",2364.47,2364.47,2610.13,3899.85,3254.99,3347.11,4084.09,3316.41,3807.72,3285.7,3838.43,3930.55,31198.77,4790.36,2364.47,3408.53,3562.06,4667.53,4568,4283,4266,3593,3983,8081,13589,21312,20620,3369,3663,5798,33903,33198,10995,19932
"G60X,UNIVERSITY COLLEGE 1,315 LEITH",27880.98,2716.78,100,0,0,2834.57,8673.5,17638,41296,42049,2173.43,2682.82,27880.98,2716.78,100,0,0,3260.14,1195,275,41296,42049,8829.21,3534,27880.98,2716.78,100,0,0,2409,16152,35001,41296,42049
